date_week,province,total_posts,avg_word_count,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,sadness_std,anger_std,fear_std,surprise_std,neutral_std,dominant_emotion_key,dominant_emotion,dominant_score,positive_index,emotional_intensity,fear_joy_ratio,reliable
2019-W50,陕西,5,277.6,0.31,0.0,0.12,0.0,0.04,0.53,0.3847076812334269,0.0,0.2683281572999748,0.0,0.05477225575051661,0.396232255123179,neutral,中性,0.53,2.3846153846153846,0.47,0.0,False
2019-W50,香港,4,502.75,0.38749999999999996,0.05,0.075,0.025,0.05,0.4125,0.45161746349464094,0.1,0.15,0.05,0.05773502691896258,0.4170831252080733,neutral,中性,0.4125,2.4218749999999996,0.5875,0.0628930817610063,False
2019-W50,黑龙江,2,198.5,0.6000000000000001,0.0,0.0,0.0,0.2,0.2,0.28284271247461906,0.0,0.0,0.0,0.28284271247461906,0.0,joy,喜悦,0.6000000000000001,60.00000000000001,0.8,0.0,False
2019-W51,上海,20,651.05,0.1275,0.017499999999999998,0.0,0.0,0.0125,0.8425,0.2203316877609277,0.04375469899577103,0.0,0.0,0.03193331868292525,0.23411367009706163,neutral,中性,0.8425,4.636363636363637,0.15749999999999997,0.0,False
2019-W51,云南,6,192.83333333333334,0.10000000000000002,0.11666666666666665,0.16666666666666666,0.008333333333333333,0.041666666666666664,0.5666666666666667,0.16733200530681513,0.2041241452319315,0.24221202832779934,0.020412414523193152,0.049159604012508754,0.3723797345005051,neutral,中性,0.5666666666666667,0.33149171270718236,0.43333333333333335,0.07575757575757575,False
2019-W51,内蒙古,2,454.0,0.2,0.0,0.2,0.0,0.05,0.55,0.28284271247461906,0.0,0.28284271247461906,0.0,0.07071067811865477,0.6363961030678927,neutral,中性,0.55,0.9523809523809523,0.44999999999999996,0.0,False
2019-W51,北京,25,427.2,0.254,0.086,0.07400000000000001,0.034,0.042,0.51,0.3044530615163307,0.15713582235335985,0.1562049935181331,0.08981462390204988,0.07863417408056965,0.32755406678389243,neutral,中性,0.51,1.2450980392156863,0.49,0.12878787878787878,False
2019-W51,台湾,2,562.0,0.2,0.05,0.2,0.05,0.1,0.39999999999999997,0.28284271247461906,0.07071067811865477,0.28284271247461906,0.07071067811865477,0.0,0.42426406871192845,neutral,中性,0.39999999999999997,0.6451612903225807,0.6000000000000001,0.23809523809523808,False
2019-W51,吉林,2,258.5,0.4,0.1,0.0,0.15,0.05,0.30000000000000004,0.5656854249492381,0.14142135623730953,0.0,0.21213203435596426,0.07071067811865477,0.14142135623730953,joy,喜悦,0.4,1.5384615384615385,0.7,0.3658536585365853,False
2019-W51,四川,8,526.375,0.35625,0.075,0.03125,0.0125,0.10625,0.41875,0.3580078809986491,0.1752549163769328,0.08838834764831845,0.023145502494313786,0.09425459443140462,0.36930194769514624,neutral,中性,0.41875,2.766990291262136,0.58125,0.034129692832764506,False
